type;front;back;examples
collocation;free trade (libre comercio);unrestricted trade policies / open economic exchange;Some nations adopt unrestricted trade policies.|Open economic exchange increases competitiveness.
collocation;economic stability (estabilidad económica);macroeconomic stability / sustained economic balance;Macroeconomic stability is essential for investor confidence.|Nations aim to maintain sustained economic balance.
collocation;reduce inequality (reducir desigualdad);narrow socioeconomic gaps / improve income distribution;New policies seek to narrow socioeconomic gaps.|Tax reforms aim to improve income distribution.
collocation;promote innovation (promover innovación);foster technological innovation / support research-driven development;Governments foster technological innovation through grants.|Funding supports research-driven development.
collocation;strengthen the economy (fortalecer la economía);reinforce economic resilience / enhance national competitiveness;Exports reinforce economic resilience.|Education reforms enhance national competitiveness.
collocation;reduce national debt (reducir deuda nacional);lower public debt / decrease national liabilities;Balanced budgets help lower public debt.|Fiscal discipline is required to decrease national liabilities.
collocation;expand markets (expandir mercados);increase market reach / develop global commercial networks;E-commerce allows businesses to increase market reach.|Companies develop global commercial networks to grow.
collocation;create wealth (crear riqueza);generate economic value / accumulate national capital;Entrepreneurship generates economic value.|Nations accumulate national capital through strategic investments.
collocation;support the workforce (apoyar la fuerza laboral);strengthen labour protections / provide worker support schemes;Policies strengthen labour protections in vulnerable industries.|Governments provide worker support schemes during downturns.
collocation;increase productivity (incrementar productividad);enhance economic output / optimise work efficiency;Automation enhances economic output.|Training programmes help optimise work efficiency.
collocation;stabilise the market (estabilizar el mercado);regulate financial volatility / ensure market predictability;Governments regulate financial volatility to protect investors.|Banking reforms ensure market predictability.
collocation;protect consumers (proteger consumidores);safeguard consumer rights / ensure fair trading practices;New regulations safeguard consumer rights.|Policies ensure fair trading practices in digital markets.
collocation;manage public funds (gestionar fondos públicos);allocate government resources responsibly / regulate fiscal expenditure;Authorities must allocate government resources responsibly.|Laws regulate fiscal expenditure to ensure transparency.
collocation;increase exports (aumentar exportaciones);expand export capacity / improve international competitiveness;Industries expand export capacity by upgrading technology.|Nations improve international competitiveness through training.
collocation;reduce imports (reducir importaciones);limit foreign purchases / adopt self-sufficiency policies;Some countries limit foreign purchases to protect local industries.|Governments adopt self-sufficiency policies in agriculture.
collocation;support unemployed people (apoyar a desempleados);provide welfare benefits / offer retraining programmes;Governments provide welfare benefits to the jobless.|Retraining programmes offer new employment pathways.
collocation;improve financial stability (mejorar estabilidad financiera);strengthen economic foundations / stabilise national finances;Reforms strengthen economic foundations.|Tax policies stabilise national finances.
collocation;encourage saving (fomentar ahorro);promote personal financial responsibility / incentivise long-term savings;Banks promote personal financial responsibility.|Governments incentivise long-term savings through tax policies.
collocation;manage inflation (gestionar inflación);control rising prices / moderate inflationary pressures;Central banks control rising prices.|Policies moderate inflationary pressures.
collocation;increase investment (incrementar inversión);attract capital inflows / stimulate large-scale investment;Lower interest rates attract capital inflows.|Governments stimulate large-scale investment through subsidies.
collocation;increase competition (aumentar competencia);promote market competitiveness / encourage fair competition;Regulations promote market competitiveness.|Policies encourage fair competition among companies.
collocation;reduce corruption (reducir corrupción);combat institutional corruption / improve governance standards;Anti-corruption agencies combat institutional corruption.|Reforms aim to improve governance standards.
collocation;support economic growth (apoyar crecimiento económico);promote sustainable growth / strengthen economic performance;Infrastructure upgrades promote sustainable growth.|Education reforms strengthen economic performance.
collocation;reduce business costs (reducir costos empresariales);lower operational expenses / minimise production costs;Automation lowers operational expenses.|Efficient technology minimises production costs.
collocation;increase foreign investment (incrementar inversión extranjera);attract international investors / stimulate cross-border investment;Stability attracts international investors.|Policies stimulate cross-border investment.
